dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference,calculated_difference,difference_score
BCWDD,Baseline,670488,static,0.8458102487383702,0.2254174903051826,0.2235362428178,0.0018249600297177,0.001757897575108,0.0018812474873825,0.001881247487382609,0.001881247487382609
BCWDD,Baseline,116740,static,0.7923329161213979,0.2340645403285085,0.2354410340857911,0.0012323269940856,0.0014334753939521,0.0013764937572825,0.0013764937572825764,0.0013764937572825764
NewThyroid2,Baseline,670488,static,0.8608549357758697,0.2665847395040548,0.2682604171072649,0.0,0.0122881909698912,0.0016756776032101,0.0016756776032100795,0.0016756776032100795
NewThyroid2,Baseline,116740,static,0.7859534197041832,0.2695586592990631,0.2769517621923948,0.0,0.0035411150172917,0.0073931028933317,0.007393102893331727,0.007393102893331727
BCWDD,Baseline,26226,static,0.7872531436167249,0.2302716624611187,0.2211701706539575,0.0036947827007027,0.000572370463252,0.0091014918071612,0.009101491807161188,0.009101491807161188
NewThyroid2,Baseline,26226,static,0.8942203044082057,0.2726460846149061,0.2716109199417718,0.0,0.0022293294285673,0.0010351646731343,0.0010351646731343034,0.0010351646731343034
Hypothyroid,Baseline,670488,static,0.7898361598031157,0.3367563883917057,0.3366642544243137,8.640255986253359e-05,0.0021797842320565,9.21339673920496e-05,9.213396739199409e-05,9.213396739199409e-05
NewThyroid2,kDN,670488,curriculum,0.6497344601433851,0.2665847395040548,0.2897432324226471,0.0,0.0020254882368853,0.0231584929185922,0.02315849291859229,0.02315849291859229
NewThyroid2,kDN,670488,static,0.7321478531285615,0.2665847395040548,0.2798043444178911,0.0,0.0078052868347354,0.0132196049138362,0.01321960491383628,0.01321960491383628
NewThyroid2,kDN,670488,self_paced,0.8797664795714617,0.2665847395040548,0.2587358932433029,0.0,0.001168569167926,0.0078488462607519,0.00784884626075194,0.00784884626075194
NewThyroid2,kDN,116740,curriculum,0.7023325025393237,0.2695586592990631,0.2793189565411494,0.0,0.0052837158933601,0.0097602972420863,0.009760297242086324,0.009760297242086324
NewThyroid2,kDN,116740,static,0.8690466440881377,0.2695586592990631,0.2739177844771183,0.0,0.0013397262092884,0.0043591251780552,0.004359125178055201,0.004359125178055201
Hypothyroid,Baseline,116740,static,0.7548415206091488,0.3954090326277897,0.3499008524059712,4.9205967656114654e-05,0.0019030249876092,0.0455081802218184,0.04550818022181852,0.04550818022181852
NewThyroid2,kDN,116740,self_paced,0.7888536534025761,0.2695586592990631,0.2762702310947272,0.0,0.0029566865937809,0.0067115717956641,0.0067115717956641174,0.0067115717956641174
NewThyroid2,kDN,26226,curriculum,0.6716955386651043,0.2726460846149061,0.2914539925462608,0.0,0.0024711870329708,0.0188079079313547,0.018807907931354728,0.018807907931354728
NewThyroid2,kDN,26226,static,0.8744190731969899,0.2726460846149061,0.2741329878178118,0.0,0.0033361554273997,0.0014869032029057,0.0014869032029057316,0.0014869032029057316
NewThyroid2,kDN,26226,self_paced,0.888005781246311,0.2726460846149061,0.2675393611078129,0.0,0.0019884718633415,0.0051067235070931,0.0051067235070931805,0.0051067235070931805
NewThyroid2,DS,670488,curriculum,0.856175809267414,0.2665847395040548,0.2498454798801973,0.0,0.0001933377563796,0.0167392596238574,0.0167392596238575,0.0167392596238575
BCWDD,kDN,670488,curriculum,0.8476819477961756,0.2254174903051826,0.2335757977727725,0.0018249600297177,0.0016382517397825,0.0081583074675899,0.008158307467589887,0.008158307467589887
NewThyroid2,DS,670488,static,0.8741646428782789,0.2665847395040548,0.2576563661267341,0.0,0.0006756098856896,0.0089283733773207,0.00892837337732072,0.00892837337732072
BCWDD,kDN,670488,static,0.8506518721440165,0.2254174903051826,0.2284692560578727,0.0018249600297177,0.0012148946249833,0.0030517657526901,0.0030517657526900888,0.0030517657526900888
NewThyroid2,DS,670488,self_paced,0.683017648154235,0.2665847395040548,0.28271889014848,0.0,0.0039085882394745,0.0161341506444252,0.016134150644425194,0.016134150644425194
NewThyroid2,DS,116740,curriculum,0.9027883875673044,0.2695586592990631,0.2691325376683738,0.0,0.0008332454404007,0.0004261216306892,0.0004261216306892801,0.0004261216306892801
BCWDD,kDN,670488,self_paced,0.8061658515178209,0.2254174903051826,0.2032309831999035,0.0018249600297177,0.0009479553079605,0.022186507105279,0.022186507105279113,0.022186507105279113
NewThyroid2,DS,116740,static,0.8810918484000865,0.2695586592990631,0.2641573978137045,0.0,0.0026822383270894,0.0054012614853585,0.005401261485358577,0.005401261485358577
BCWDD,kDN,116740,curriculum,0.8093433759856236,0.2340645403285085,0.2362044082473617,0.0012323269940856,0.0023051136216918,0.0021398679188532,0.0021398679188531777,0.0021398679188531777
NewThyroid2,DS,116740,self_paced,0.8448157787346957,0.2695586592990631,0.2635123629968991,3.204937810639273e-17,0.0014131407750657,0.0060462963021639,0.006046296302163967,0.006046296302163967
NewThyroid2,DS,26226,curriculum,0.9092285113438062,0.2726460846149061,0.2716553980861659,0.0,0.0011722011913892,0.0009906865287401,0.0009906865287401811,0.0009906865287401811
BCWDD,kDN,116740,static,0.8145305324055353,0.2340645403285085,0.2366864209444205,0.0012323269940856,0.0013492928253847,0.0026218806159119,0.002621880615911981,0.002621880615911981
NewThyroid2,DS,26226,static,0.8860886170607152,0.2726460846149061,0.2665812892840246,0.0,0.0046068994094942,0.0060647953308814,0.006064795330881501,0.006064795330881501
BCWDD,kDN,116740,self_paced,0.763991792847278,0.2340645403285085,0.2068913855463753,0.0012323269940856,0.0018973900510166,0.0271731547821332,0.027173154782133224,0.027173154782133224
NewThyroid2,DS,26226,self_paced,0.6685669295055489,0.2726460846149061,0.2893448398304019,0.0,0.0064581842314476,0.0166987552154957,0.016698755215495797,0.016698755215495797
Hypothyroid,Baseline,26226,static,0.7821876052683389,0.400504710464352,0.3408139680220763,4.435293679571391e-05,0.0012106041887789,0.0596907424422756,0.05969074244227568,0.05969074244227568
NewThyroid2,DCP,670488,curriculum,0.5832174250739495,0.2665847395040548,0.3008644349938318,0.0,0.0163830153845232,0.0342796954897769,0.034279695489776996,0.034279695489776996
BCWDD,kDN,26226,curriculum,0.7690204767505971,0.2302716624611187,0.2379236466317891,0.0036947827007027,0.0002682362797497,0.0076519841706703,0.007651984170670423,0.007651984170670423
NewThyroid2,DCP,670488,static,0.8627273365927944,0.2665847395040548,0.253123041944682,0.0,0.0006024809476091,0.0134616975593727,0.01346169755937282,0.01346169755937282
BCWDD,kDN,26226,static,0.8091830045603084,0.2302716624611187,0.24043920542015,0.0036947827007027,0.0008981924334243,0.0101675429590313,0.0101675429590313,0.0101675429590313
NewThyroid2,DCP,670488,self_paced,0.872284013958798,0.2665847395040548,0.2581439541683397,0.0,0.0029131710416236,0.0084407853357151,0.008440785335715129,0.008440785335715129
NewThyroid2,DCP,116740,curriculum,0.5571297325498914,0.2695586592990631,0.3260734603127512,3.204937810639273e-17,0.0028245914292512,0.0565148010136881,0.05651480101368811,0.05651480101368811
BCWDD,kDN,26226,self_paced,0.745686017366215,0.2302716624611187,0.2065673415510079,0.0036947827007027,0.0009246585909675,0.0237043209101108,0.023704320910110793,0.023704320910110793
NewThyroid2,DCP,116740,static,0.6990425274533817,0.2695586592990631,0.2833776744274516,0.0,0.006145584978748,0.0138190151283885,0.013819015128388512,0.013819015128388512
BCWDD,DS,670488,curriculum,0.845154219458514,0.2254174903051826,0.218811331489365,0.0018249600297177,0.0021281218835154,0.0066061588158175,0.006606158815817609,0.006606158815817609
NewThyroid2,DCP,116740,self_paced,0.8556969297527565,0.2695586592990631,0.2746531048768177,0.0,0.0050895850467551,0.0050944455777546,0.005094445577754625,0.005094445577754625
NewThyroid2,DCP,26226,curriculum,0.601097917892748,0.2726460846149061,0.3128000677299108,0.0,0.002532923044891,0.0401539831150047,0.04015398311500473,0.04015398311500473
BCWDD,DS,670488,static,0.8234520449106408,0.2254174903051826,0.2102459167254336,0.0018249600297177,0.0009895221438135,0.0151715735797489,0.015171573579748993,0.015171573579748993
