dataset,hardness_metric,random_seed,weighting_strategy,ks_mean,ks_std
NewThyroid2,Baseline,670488,static,0.4743431855500821,0.1273175411971737
NewThyroid2,Baseline,116740,static,0.5488505747126438,0.076779456538741
NewThyroid2,Baseline,26226,static,0.5414614121510674,0.1084412268364491
NewThyroid2,kDN,670488,curriculum,0.583743842364532,0.1672762598718962
NewThyroid2,kDN,670488,static,0.4651067323481117,0.2615284060257332
NewThyroid2,kDN,670488,self_paced,0.5899014778325123,0.110771281113323
NewThyroid2,kDN,116740,curriculum,0.5646551724137931,0.1307213462479939
NewThyroid2,kDN,116740,static,0.5086206896551725,0.2047683075492543
NewThyroid2,kDN,116740,self_paced,0.4517651888341543,0.129009770038632
NewThyroid2,kDN,26226,curriculum,0.5517241379310346,0.1620741435879552
NewThyroid2,kDN,26226,static,0.561576354679803,0.1787412136619063
NewThyroid2,kDN,26226,self_paced,0.4544334975369458,0.1243618799918652
NewThyroid2,DS,670488,curriculum,0.5020525451559934,0.1125655885523332
NewThyroid2,DS,670488,static,0.5270935960591133,0.1186491831971381
NewThyroid2,DS,670488,self_paced,0.5184729064039408,0.0977727035792304
NewThyroid2,DS,116740,curriculum,0.4612068965517242,0.1266573378060735
NewThyroid2,DS,116740,static,0.464696223316913,0.096397100924506
NewThyroid2,DS,116740,self_paced,0.3994252873563217,0.1673165518707154
NewThyroid2,DS,26226,curriculum,0.4883004926108374,0.0932517595707602
NewThyroid2,DS,26226,static,0.504720853858785,0.0829992514695828
NewThyroid2,DS,26226,self_paced,0.4961001642036124,0.1925459123494099
NewThyroid2,DCP,670488,curriculum,0.5646551724137931,0.0969933465693262
NewThyroid2,DCP,670488,static,0.4979474548440065,0.1588919206695186
NewThyroid2,DCP,670488,self_paced,0.5318144499178982,0.128053980845167
NewThyroid2,DCP,116740,curriculum,0.6104269293924466,0.1269163542650708
NewThyroid2,DCP,116740,static,0.5340722495894911,0.1994068482431439
NewThyroid2,DCP,116740,self_paced,0.5205254515599343,0.110370450881823
NewThyroid2,DCP,26226,curriculum,0.5158045977011494,0.0586126542813272
NewThyroid2,DCP,26226,static,0.5648604269293924,0.0618330718678579
NewThyroid2,DCP,26226,self_paced,0.5537766830870279,0.109586691057232
NewThyroid2,TD_P,670488,curriculum,0.6687192118226601,0.1808361009934714
NewThyroid2,TD_P,670488,static,0.5435139573070608,0.2093012410999193
NewThyroid2,TD_P,670488,self_paced,0.571223316912972,0.0580971809609212
NewThyroid2,TD_P,116740,curriculum,0.5872331691297209,0.1581340519736616
NewThyroid2,TD_P,116740,static,0.5180623973727422,0.1975934808203051
NewThyroid2,TD_P,116740,self_paced,0.5554187192118226,0.092249517882032
NewThyroid2,TD_P,26226,curriculum,0.4603858784893268,0.0954583564309898
NewThyroid2,TD_P,26226,static,0.4858374384236454,0.0962214692543288
NewThyroid2,TD_P,26226,self_paced,0.4677750410509032,0.109586114396965
NewThyroid2,TD_U,670488,curriculum,0.687192118226601,0.1226117016649172
NewThyroid2,TD_U,670488,static,0.6555829228243022,0.1899889725935606
NewThyroid2,TD_U,670488,self_paced,0.5219622331691297,0.1084942441257125
NewThyroid2,TD_U,116740,curriculum,0.5474137931034483,0.1868268273816952
NewThyroid2,TD_U,116740,static,0.4827586206896552,0.2444490801682456
NewThyroid2,TD_U,116740,self_paced,0.4778325123152709,0.1267496076763093
NewThyroid2,TD_U,26226,curriculum,0.403735632183908,0.1415370906786638
NewThyroid2,TD_U,26226,static,0.4435550082101806,0.1283398893346765
NewThyroid2,TD_U,26226,self_paced,0.3926518883415435,0.1526256071425433
NewThyroid2,CL,670488,curriculum,0.522167487684729,0.1035996624727518
NewThyroid2,CL,670488,static,0.5609605911330049,0.0972692032253305
NewThyroid2,CL,670488,self_paced,0.4390394088669951,0.1542881960628501
NewThyroid2,CL,116740,curriculum,0.4638752052545156,0.1049491046389149
NewThyroid2,CL,116740,static,0.479064039408867,0.1006417122098689
NewThyroid2,CL,116740,self_paced,0.4244663382594417,0.1500942504056785
NewThyroid2,CL,26226,curriculum,0.5287356321839081,0.0830091488436173
NewThyroid2,CL,26226,static,0.513752052545156,0.0810641009585894
NewThyroid2,CL,26226,self_paced,0.5219622331691297,0.0956831741582776
NewThyroid2,CLD,670488,curriculum,0.4800903119868637,0.1282531982552373
NewThyroid2,CLD,670488,static,0.5141625615763546,0.0983905884499347
NewThyroid2,CLD,670488,self_paced,0.5691707717569786,0.133165263742758
NewThyroid2,CLD,116740,curriculum,0.4704433497536945,0.0966415335803618
NewThyroid2,CLD,116740,static,0.4891215106732348,0.0845292322957755
NewThyroid2,CLD,116740,self_paced,0.4620279146141214,0.1517919245302538
NewThyroid2,CLD,26226,curriculum,0.4644909688013137,0.0995365896151
NewThyroid2,CLD,26226,static,0.4298029556650246,0.1208299007540765
NewThyroid2,CLD,26226,self_paced,0.5221674876847291,0.114664365507432
NewThyroid2,MV,670488,curriculum,0.4876847290640394,0.1123032971176255
NewThyroid2,MV,670488,static,0.5199096880131363,0.0849706593809772
NewThyroid2,MV,670488,self_paced,0.5667077175697866,0.1326784304293355
NewThyroid2,MV,116740,curriculum,0.4651067323481117,0.0975259222621816
NewThyroid2,MV,116740,static,0.4610016420361247,0.1091892290562134
NewThyroid2,MV,116740,self_paced,0.4909688013136288,0.1367635958783186
NewThyroid2,MV,26226,curriculum,0.4053776683087028,0.0791295423899886
NewThyroid2,MV,26226,static,0.5121100164203612,0.0718956497893084
NewThyroid2,MV,26226,self_paced,0.4605911330049261,0.0970044219556113
NewThyroid2,CB,670488,curriculum,0.507183908045977,0.0815428943888661
NewThyroid2,CB,670488,static,0.541871921182266,0.072423147637017
NewThyroid2,CB,670488,self_paced,0.4388341543513958,0.1662860562221818
NewThyroid2,CB,116740,curriculum,0.4776272577996716,0.1030257043554594
NewThyroid2,CB,116740,static,0.4671592775041049,0.0886005551592034
NewThyroid2,CB,116740,self_paced,0.526888341543514,0.0682634059623546
NewThyroid2,CB,26226,curriculum,0.4451970443349753,0.1127452797019738
NewThyroid2,CB,26226,static,0.4320607553366173,0.1315303543093372
NewThyroid2,CB,26226,self_paced,0.5338669950738917,0.1601596921161327
NewThyroid2,N1,670488,curriculum,0.63752052545156,0.1822627738288746
NewThyroid2,N1,670488,static,0.604679802955665,0.2194354129916485
NewThyroid2,N1,670488,self_paced,0.5541871921182265,0.0759929723820327
NewThyroid2,N1,116740,curriculum,0.7502052545155994,0.0920147088190618
NewThyroid2,N1,116740,static,0.6418308702791461,0.210862730049772
NewThyroid2,N1,116740,self_paced,0.5767651888341544,0.1021021046472814
NewThyroid2,N1,26226,curriculum,0.7438423645320196,0.0872387228986445
NewThyroid2,N1,26226,static,0.6564039408866995,0.0926787212338356
NewThyroid2,N1,26226,self_paced,0.5289408866995075,0.0694066862226327
NewThyroid2,N2,670488,curriculum,0.519704433497537,0.1983344975462399
NewThyroid2,N2,670488,static,0.5919540229885056,0.142015360536965
NewThyroid2,N2,670488,self_paced,0.5371510673234812,0.0844245033015897
NewThyroid2,N2,116740,curriculum,0.6295155993431855,0.0955668639501342
NewThyroid2,N2,116740,static,0.5743021346469622,0.1251655432461305
