dataset,hardness_metric,random_seed,weighting_strategy,Overall_similarity,ks_mean,ks_std,ks_pvalue
BCWDD,Baseline,670488,static,0.7776444368249614,0.2223555631750385,0.1613228867861147,0.152402344591606
BCWDD,Baseline,116740,static,0.8057031830390308,0.1942968169609692,0.1381044565372841,0.1306845437066268
NewThyroid2,Baseline,670488,static,0.7656058751529988,0.2343941248470012,0.2045270586896487,0.2245345510569598
NewThyroid2,Baseline,116740,static,0.7914116687066505,0.2085883312933496,0.2021254805362926,0.2002414945332928
BCWDD,Baseline,26226,static,0.8192468141036631,0.1807531858963369,0.1262675876672263,0.164406102267323
NewThyroid2,Baseline,26226,static,0.8601591187270502,0.1398408812729498,0.142390349414968,0.3201456488272292
Hypothyroid,Baseline,670488,static,0.7188737505015439,0.2811262494984561,0.3137365735217073,0.1578947368424947
NewThyroid2,kDN,670488,curriculum,0.7980416156670748,0.2019583843329253,0.1869850643637978,0.3212476847003131
NewThyroid2,kDN,670488,static,0.8264993880048961,0.173500611995104,0.1403335303295113,0.260019605456907
NewThyroid2,kDN,670488,self_paced,0.7634638922888618,0.2365361077111383,0.223484657993621,0.2973829739583873
NewThyroid2,kDN,116740,curriculum,0.7941656466748267,0.2058343533251734,0.2046266843694656,0.2605888708352244
NewThyroid2,kDN,116740,static,0.79171766625867,0.2082823337413301,0.1987657656443835,0.251706085600854
Hypothyroid,Baseline,116740,static,0.7138844791793871,0.286115520820613,0.2988431972049178,0.1052631578947374
NewThyroid2,kDN,116740,self_paced,0.8348633210934312,0.1651366789065687,0.1679751598413438,0.2483579782234092
NewThyroid2,kDN,26226,curriculum,0.8451652386780907,0.1548347613219094,0.1281584738885336,0.3206253139977744
NewThyroid2,kDN,26226,static,0.8539371685026519,0.146062831497348,0.1500316118383275,0.3223731371874063
NewThyroid2,kDN,26226,self_paced,0.8310893512851898,0.1689106487148103,0.1579443449312,0.2976330540657523
NewThyroid2,DS,670488,curriculum,0.7284781721746226,0.2715218278253774,0.2410245682058208,0.2891239617620738
BCWDD,kDN,670488,curriculum,0.7572432710440596,0.2427567289559403,0.1713971796532636,0.1595038340481742
NewThyroid2,DS,670488,static,0.7519379844961241,0.248062015503876,0.2275383019050312,0.2549418205867936
BCWDD,kDN,670488,static,0.7213555060289158,0.278644493971084,0.2140845843251825,0.1519880206864051
NewThyroid2,DS,670488,self_paced,0.795389636882905,0.204610363117095,0.1911759688497585,0.2562954105967449
NewThyroid2,DS,116740,curriculum,0.7727458180334557,0.2272541819665442,0.1957307201573404,0.2252316926294953
BCWDD,kDN,670488,self_paced,0.7037545002571576,0.2962454997428425,0.2223623556905955,0.1068851139739387
NewThyroid2,DS,116740,static,0.7615259077927377,0.2384740922072623,0.2064337493313214,0.2183797562724426
BCWDD,kDN,116740,curriculum,0.770386879250243,0.2296131207497571,0.1435648681928283,0.1846983357950603
NewThyroid2,DS,116740,self_paced,0.7842717258261934,0.2157282741738066,0.1939127087000126,0.2303167182560428
NewThyroid2,DS,26226,curriculum,0.817217462260302,0.1827825377396981,0.1782802184892787,0.3184459238997803
BCWDD,kDN,116740,static,0.7721012629293105,0.2278987370706897,0.1425510458685367,0.1615719817133671
NewThyroid2,DS,26226,static,0.8173194614443086,0.1826805385556915,0.1775589303054131,0.3095082893667732
BCWDD,kDN,116740,self_paced,0.7107263272186982,0.2892736727813018,0.1958239284708391,0.1304283324070869
NewThyroid2,DS,26226,self_paced,0.8539371685026519,0.146062831497348,0.103405040214093,0.2229699458064809
Hypothyroid,Baseline,26226,static,0.6452558309927953,0.3547441690072048,0.3176958658571552,0.1052631578957565
NewThyroid2,DCP,670488,curriculum,0.6672786617707059,0.3327213382292942,0.2328155897077127,0.1479440814029473
BCWDD,kDN,26226,curriculum,0.7655294588262186,0.2344705411737813,0.1997547273861132,0.157972566794358
NewThyroid2,DCP,670488,static,0.7174622603019176,0.2825377396980824,0.2503745695177268,0.2683540953211541
BCWDD,kDN,26226,static,0.7878164466540947,0.2121835533459055,0.1397612850314691,0.1599254777578046
NewThyroid2,DCP,670488,self_paced,0.7886576907384739,0.2113423092615259,0.2427884415053364,0.2713706376511481
NewThyroid2,DCP,116740,curriculum,0.6829865361077112,0.3170134638922888,0.2064651952442402,0.1265000864990235
BCWDD,kDN,26226,self_paced,0.7086119206811818,0.2913880793188182,0.2021460871265892,0.1127616635691674
NewThyroid2,DCP,116740,static,0.7995716034271725,0.2004283965728274,0.1570193209173565,0.257411394075639
BCWDD,DS,670488,curriculum,0.796045488313618,0.2039545116863821,0.1257633353501951,0.1307921050034461
NewThyroid2,DCP,116740,self_paced,0.8088535291717667,0.1911464708282333,0.1632335616567999,0.202703818384177
NewThyroid2,DCP,26226,curriculum,0.751325989392085,0.2486740106079151,0.1889133933457153,0.2246704972916242
BCWDD,DS,670488,static,0.7713583633350477,0.2286416366649522,0.1659331132066269,0.1158606149900827
NewThyroid2,DCP,26226,static,0.8014075887392901,0.1985924112607099,0.2022067901827415,0.2908531098822006
BCWDD,DS,670488,self_paced,0.7050117149551404,0.2949882850448597,0.2116122232947837,0.1133007891951418
NewThyroid2,DCP,26226,self_paced,0.8690330477356182,0.1309669522643818,0.0934098703616458,0.2666344954248263
NewThyroid2,TD_P,670488,curriculum,0.7920236638106894,0.2079763361893104,0.1885342277976184,0.2911416755993984
BCWDD,DS,116740,curriculum,0.7649008514772273,0.2350991485227727,0.1413992322931272,0.1092714365656246
NewThyroid2,TD_P,670488,static,0.7985516115871073,0.2014483884128926,0.1679114768024237,0.2841008079067498
NewThyroid2,TD_P,670488,self_paced,0.7771317829457365,0.2228682170542636,0.2329683245093264,0.273970911771521
BCWDD,DS,116740,static,0.7889593691068061,0.2110406308931939,0.1741356101344699,0.1629357637532227
NewThyroid2,TD_P,116740,curriculum,0.7987556099551205,0.2012443900448796,0.1559150865510351,0.2604478037159399
BCWDD,DS,116740,self_paced,0.8097605577461569,0.1902394422538431,0.1372179197874872,0.1613100681367623
NewThyroid2,TD_P,116740,static,0.7968176254589964,0.2031823745410036,0.161761701872706,0.2602924795551783
NewThyroid2,TD_P,116740,self_paced,0.7760097919216647,0.2239902080783353,0.2121020976612996,0.2180453291295551
BCWDD,DS,26226,curriculum,0.7526715812332133,0.2473284187667866,0.1828543233370929,0.15197776870199
NewThyroid2,TD_P,26226,curriculum,0.8268053855569155,0.1731946144430844,0.1609604650651856,0.3216486331660853
BCWDD,DS,26226,static,0.7150122864163666,0.2849877135836334,0.203576659417713,0.1223461765443995
NewThyroid2,TD_P,26226,static,0.857405140758874,0.1425948592411261,0.121961512376979,0.237234744815522
NewThyroid2,TD_P,26226,self_paced,0.8547531619747041,0.1452468380252957,0.0968124329466282,0.2355947643920559
BCWDD,DS,26226,self_paced,0.8057031830390308,0.1942968169609692,0.1348823553374747,0.1182572338680401
NewThyroid2,TD_U,670488,curriculum,0.7816197470420236,0.2183802529579763,0.1972810830472538,0.2323497017006946
BCWDD,DCP,670488,curriculum,0.7440425167152409,0.2559574832847591,0.1550858172683468,0.1407573161037706
NewThyroid2,TD_U,670488,static,0.8040595675234599,0.1959404324765401,0.1862916737924036,0.2633168918488654
NewThyroid2,TD_U,670488,self_paced,0.7753977968176254,0.2246022031823745,0.2287270239473858,0.2751306915812471
BCWDD,DCP,670488,static,0.7723298474198526,0.2276701525801474,0.1495129766774361,0.1510265737140572
NewThyroid2,TD_U,116740,curriculum,0.7464300285597715,0.2535699714402284,0.1886046829803023,0.2217442138959872
BCWDD,DCP,670488,self_paced,0.7425567175267157,0.2574432824732842,0.1887084899785759,0.1332554516209839
NewThyroid2,TD_U,116740,static,0.8130354957160343,0.1869645042839657,0.1781030764548338,0.2559965253426368
NewThyroid2,TD_U,116740,self_paced,0.7595879232966137,0.2404120767033864,0.2113085857982287,0.1854935156157184
BCWDD,DCP,116740,curriculum,0.7404423109891994,0.2595576890108006,0.172160109048701,0.1560853346034637
NewThyroid2,TD_U,26226,curriculum,0.8377192982456141,0.162280701754386,0.1544765434829281,0.3096958772804863
BCWDD,DCP,116740,static,0.7617578147322703,0.2382421852677295,0.1488092494887081,0.1762131964651379
NewThyroid2,TD_U,26226,static,0.8209914320685435,0.1790085679314565,0.1732920809377999,0.3161440328546251
NewThyroid2,TD_U,26226,self_paced,0.8584251325989393,0.1415748674010608,0.1041218341828672,0.245132514743388
BCWDD,DCP,116740,self_paced,0.7301560089147952,0.2698439910852049,0.2064013527130371,0.1277260957511964
NewThyroid2,CL,670488,curriculum,0.7622399020807835,0.2377600979192166,0.2327476555349044,0.2981927396773519
BCWDD,DCP,26226,curriculum,0.8026744385393452,0.1973255614606549,0.1331947527523762,0.1739658516872486
NewThyroid2,CL,670488,static,0.7454100367197063,0.2545899632802937,0.243371292758269,0.3082196730037939
NewThyroid2,CL,670488,self_paced,0.7973276213790289,0.202672378620971,0.2258626779562006,0.2716308680727396
BCWDD,DCP,26226,static,0.783416195211155,0.2165838047888451,0.1584866914490445,0.1580377451793298
NewThyroid2,CL,116740,curriculum,0.7563239494084047,0.2436760505915953,0.2156232352575925,0.2414351264881431
BCWDD,DCP,26226,self_paced,0.7362134979141665,0.2637865020858334,0.1794116149064793,0.1224504795783228
NewThyroid2,CL,116740,static,0.7597919216646267,0.2402080783353733,0.2059947196995387,0.2251652258143336
NewThyroid2,CL,116740,self_paced,0.8096695226438188,0.1903304773561811,0.1714772835298537,0.2086997333722278
BCWDD,TD_P,670488,curriculum,0.778101605806046,0.2218983941939539,0.1753595420555215,0.1848542862573795
NewThyroid2,CL,26226,curriculum,0.8114035087719299,0.1885964912280701,0.1843205125345635,0.3118160400521603
NewThyroid2,CL,26226,static,0.8292533659730722,0.1707466340269278,0.1672419629166776,0.3238883652159934
BCWDD,TD_P,670488,static,0.7854163095034002,0.2145836904965997,0.1512185100802,0.1703937035608166
NewThyroid2,CL,26226,self_paced,0.8827009383924928,0.1172990616075071,0.0887235784756349,0.28074215642787
BCWDD,TD_P,670488,self_paced,0.7044402537287846,0.2955597462712155,0.2203827753653056,0.1077186693380747
NewThyroid2,CLD,670488,curriculum,0.7138922888616892,0.2861077111383108,0.2528935605851977,0.2730545992426826
NewThyroid2,CLD,670488,static,0.7486740106079153,0.2513259893920849,0.2391268138921489,0.3007206813815866
BCWDD,TD_P,116740,curriculum,0.6554660266300931,0.3445339733699068,0.2079609824370794,0.1092074736918504
NewThyroid2,CLD,670488,self_paced,0.7947776417788659,0.2052223582211342,0.1587889148009863,0.2415807378839895
BCWDD,TD_P,116740,static,0.7100977198697069,0.2899022801302932,0.1934151697620843,0.1138975151488473
NewThyroid2,CLD,116740,curriculum,0.7514279885760914,0.2485720114239086,0.2128078474357154,0.1998365991451058
NewThyroid2,CLD,116740,static,0.7451040391676866,0.2548959608323133,0.2132231402155261,0.20966433889045
BCWDD,TD_P,116740,self_paced,0.7743299617120979,0.2256700382879022,0.1653217080652564,0.1546944192578042
NewThyroid2,CLD,116740,self_paced,0.8016115871073032,0.1983884128926968,0.18984982928191,0.1957216361898856
BCWDD,TD_P,26226,curriculum,0.7947882736156352,0.2052117263843648,0.1754036910709574,0.1476659183978118
NewThyroid2,CLD,26226,curriculum,0.8704610363117095,0.1295389636882905,0.1081572336899208,0.3023241187881396
NewThyroid2,CLD,26226,static,0.8220114239086086,0.1779885760913912,0.1818471820829828,0.3219127034152832
BCWDD,TD_P,26226,static,0.8158751928681639,0.1841248071318361,0.122042579238101,0.1237742774171258
NewThyroid2,CLD,26226,self_paced,0.8680130558955528,0.1319869441044471,0.0808737115672691,0.2244613294093552
BCWDD,TD_P,26226,self_paced,0.7785587747871305,0.2214412252128693,0.1623633480166784,0.1586924572669245
NewThyroid2,MV,670488,curriculum,0.7379640962872297,0.2620359037127703,0.2572222856420062,0.2708498336801628
NewThyroid2,MV,670488,static,0.7373521011831906,0.2626478988168095,0.2490230647234166,0.2973716700190472
BCWDD,TD_U,670488,curriculum,0.795359734841991,0.204640265158009,0.1395387090447602,0.1632032366426153
NewThyroid2,MV,670488,self_paced,0.8065075479396165,0.1934924520603835,0.1975976674763395,0.2636338028992778
BCWDD,TD_U,670488,static,0.8074175667180983,0.1925824332819018,0.1186311939365057,0.1063209763350761
NewThyroid2,MV,116740,curriculum,0.7498980008159934,0.2501019991840065,0.2143881635923574,0.2464963887300571
NewThyroid2,MV,116740,static,0.7719298245614036,0.2280701754385965,0.1961375087809068,0.213827001644326
BCWDD,TD_U,670488,self_paced,0.8030744613977941,0.1969255386022058,0.135854880086176,0.1161206384769519
NewThyroid2,MV,116740,self_paced,0.8194614443084456,0.1805385556915544,0.1612966733583354,0.220986810358338
BCWDD,TD_U,116740,curriculum,0.7816446654094519,0.218355334590548,0.1322579323882445,0.1130753256274036
NewThyroid2,MV,26226,curriculum,0.8148714810281517,0.1851285189718482,0.1715035524023387,0.321327152503958
NewThyroid2,MV,26226,static,0.7943696450428397,0.2056303549571603,0.2049079071029386,0.3091412900873529
BCWDD,TD_U,116740,static,0.7902737299274245,0.2097262700725756,0.1285254792996025,0.1055086968275387
NewThyroid2,MV,26226,self_paced,0.8612811097511219,0.1387188902488779,0.0957465422091459,0.2596375894113898
NewThyroid2,CB,670488,curriculum,0.759077927376581,0.240922072623419,0.2332380349703347,0.3103671079352489
BCWDD,TD_U,116740,self_paced,0.7854163095034002,0.2145836904965997,0.1610748595432427,0.154589123367289
NewThyroid2,CB,670488,static,0.7502039983680132,0.2497960016319869,0.2497898999321249,0.3106585906723478
BCWDD,TD_U,26226,curriculum,0.7581004628835932,0.2418995371164066,0.1730792570135957,0.1129305815855307
NewThyroid2,CB,670488,self_paced,0.7537739698082415,0.2462260301917584,0.2317991095568017,0.2684971517888251
NewThyroid2,CB,116740,curriculum,0.7553039575683395,0.2446960424316605,0.2051479238466136,0.2206381850541477
BCWDD,TD_U,26226,static,0.7837590719469684,0.2162409280530316,0.1337931452842801,0.1212228475229062
NewThyroid2,CB,116740,static,0.7515299877600978,0.2484700122399021,0.2073482102376671,0.2288251509042944
BCWDD,TD_U,26226,self_paced,0.7965026572947026,0.2034973427052974,0.1434969748983201,0.1576524624526739
NewThyroid2,CB,116740,self_paced,0.7907996736026112,0.2092003263973888,0.1714287392274616,0.2151389778447835
NewThyroid2,CB,26226,curriculum,0.8091595267237862,0.1908404732762137,0.1822110865117553,0.3111871355471636
BCWDD,CL,670488,curriculum,0.725012857877593,0.274987142122407,0.1900958532782332,0.1288106193385605
NewThyroid2,CB,26226,static,0.802733578131375,0.197266421868625,0.193459085718193,0.3117974037421935
BCWDD,CL,670488,static,0.7233556203211613,0.2766443796788388,0.2384104731814062,0.1573102578151488
NewThyroid2,CB,26226,self_paced,0.8475112199102406,0.1524887800897592,0.1157970640723721,0.2017758775041051
NewThyroid2,N1,670488,curriculum,0.799265605875153,0.2007343941248469,0.2076137704816284,0.2950253384446903
BCWDD,CL,670488,self_paced,0.6767243842505285,0.3232756157494713,0.2386612971235081,0.1071649761089813
NewThyroid2,N1,670488,static,0.8036515707874338,0.1963484292125663,0.2244190209550546,0.2841571851490716
BCWDD,CL,116740,curriculum,0.7172409851991542,0.2827590148008457,0.1904403775359976,0.1103070139618062
NewThyroid2,N1,670488,self_paced,0.7879436964504284,0.2120563035495716,0.1900570258709708,0.2436647054941262
NewThyroid2,N1,116740,curriculum,0.7951856385148919,0.2048143614851081,0.1787740486630734,0.2562379670429179
BCWDD,CL,116740,static,0.7167266700954341,0.283273329904566,0.203186315805322,0.1139479188620033
NewThyroid2,N1,116740,static,0.7957976336189312,0.2042023663810689,0.1965665333445514,0.2649610529593801
BCWDD,CL,116740,self_paced,0.7203840219441112,0.2796159780558889,0.2091161145314438,0.1081748987280188
NewThyroid2,N1,116740,self_paced,0.7938596491228069,0.2061403508771929,0.1904330501822974,0.2039766185139844
