dataset,hardness_metric,random_seed,weighting_strategy,Bottleneck_H0_mean,Bottleneck_H0_std,Bottleneck_H1_mean,Bottleneck_H1_std,Wasserstein_H0_mean,Wasserstein_H0_std,Wasserstein_H1_mean,Wasserstein_H1_std
BCWDD,Baseline,670488,static,0.8716210524241129,0.2192426328476762,0.4026566743850708,0.0668853711235914,33.35802088391063,2.3625202916366783,7.3585909268724,1.338777930246074
BCWDD,Baseline,116740,static,1.1708828210830688,0.3640897161452556,0.6762359539667765,0.2926668143883337,39.12653602259039,8.748383961283224,6.63908909186631,1.4632409704208684
NewThyroid2,Baseline,670488,static,1.317225217819214,0.2753319977414316,0.1906647086143493,0.055753537084151,10.448077364231,0.7753811452355073,0.5822132006060848,0.0260455539043665
NewThyroid2,Baseline,116740,static,1.1763569116592407,0.2305628174922994,0.1587823629379272,0.0354900909633864,12.29010289081235,1.6324860466678195,0.3967208531387587,0.1498803044202927
BCWDD,Baseline,26226,static,1.0522819360097249,0.0745646058476941,0.4307795763015747,0.0130177866274165,39.15595627380463,3.299583802061669,6.811360630787533,1.2898920391355964
NewThyroid2,Baseline,26226,static,1.1975573301315308,0.0,0.1494976878166198,0.0751285843528372,11.219909090275303,2.056881887748435,0.5392120389881122,0.3531411615222593
Hypothyroid,Baseline,670488,static,1.8019609451293943,0.0,0.3328387339909871,0.0638764977150586,39.81487485630558,3.0576882308010944,4.414901561600631,0.5109592616580015
NewThyroid2,kDN,670488,curriculum,1.3529366652170818,0.2997052599626281,0.2039459943771362,0.0491329526815015,11.507736437055476,0.8725636774535687,0.6161850426700379,0.0342787069329758
NewThyroid2,kDN,670488,static,1.4341632922490437,0.2001453683805063,0.1776939431826273,0.0711704528459675,9.771854042102603,0.4404986647003646,0.4405324670434591,0.0737506127174726
NewThyroid2,kDN,670488,self_paced,1.2898236910502117,0.3034580431549027,0.1906647086143493,0.055753537084151,10.86563864090428,0.8379941923994816,0.5401399194192664,0.0272642815371025
NewThyroid2,kDN,116740,curriculum,1.1763569116592407,0.2305628174922994,0.1587823629379272,0.0354900909633864,12.61036100256428,1.379549409463474,0.4414975403123057,0.1557991003169729
NewThyroid2,kDN,116740,static,1.0418511033058169,0.3519623116590202,0.1974813938140869,0.0192386033523737,12.886446029033374,1.7405581639457155,0.556300148566541,0.0554872085143682
