dataset,Classifier,weighting_strategy,hardness_metric,seed,metric,baseline_value,augmented_value,utility_gain
BCWDD,GaussianNB,curriculum,CB,670488,Precision,0.8636363636363636,0.8809523809523809,0.017316017316017285
BCWDD,GaussianNB,curriculum,CB,670488,Recall,0.9047619047619048,0.8809523809523809,-0.023809523809523836
BCWDD,GaussianNB,curriculum,CB,670488,F1 Score,0.8837209302325582,0.8809523809523809,-0.002768549280177224
BCWDD,GaussianNB,curriculum,CB,670488,Specificity,0.9166666666666666,0.9305555555555556,0.01388888888888895
BCWDD,GaussianNB,curriculum,CB,670488,Balanced Accuracy,0.9107142857142856,0.9057539682539684,-0.004960317460317221
BCWDD,GaussianNB,curriculum,CB,116740,Precision,0.8888888888888888,0.9090909090909092,0.020202020202020332
BCWDD,GaussianNB,curriculum,CB,116740,Recall,0.9523809523809524,0.9523809523809524,0.0
BCWDD,GaussianNB,curriculum,CB,116740,F1 Score,0.9195402298850576,0.9302325581395348,0.01069232825447719
BCWDD,GaussianNB,curriculum,CB,116740,Specificity,0.9305555555555556,0.9444444444444444,0.01388888888888884
BCWDD,GaussianNB,curriculum,CB,116740,Balanced Accuracy,0.941468253968254,0.9484126984126984,0.00694444444444442
BCWDD,GaussianNB,curriculum,CB,26226,Precision,0.975,0.9736842105263158,-0.001315789473684159
BCWDD,GaussianNB,curriculum,CB,26226,Recall,0.9285714285714286,0.8809523809523809,-0.04761904761904767
BCWDD,GaussianNB,curriculum,CB,26226,F1 Score,0.951219512195122,0.925,-0.026219512195121975
BCWDD,GaussianNB,curriculum,CB,26226,Specificity,0.9861111111111112,0.9861111111111112,0.0
BCWDD,GaussianNB,curriculum,CB,26226,Balanced Accuracy,0.95734126984127,0.933531746031746,-0.023809523809523947
BCWDD,GaussianNB,curriculum,CL,670488,Precision,0.8636363636363636,0.8695652173913043,0.005928853754940677
BCWDD,GaussianNB,curriculum,CL,670488,Recall,0.9047619047619048,0.9523809523809524,0.04761904761904767
BCWDD,GaussianNB,curriculum,CL,670488,F1 Score,0.8837209302325582,0.9090909090909092,0.025369978858351017
BCWDD,GaussianNB,curriculum,CL,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,CL,670488,Balanced Accuracy,0.9107142857142856,0.9345238095238096,0.023809523809524058
BCWDD,GaussianNB,curriculum,CL,116740,Precision,0.8888888888888888,0.8723404255319149,-0.016548463356973908
BCWDD,GaussianNB,curriculum,CL,116740,Recall,0.9523809523809524,0.9761904761904762,0.023809523809523725
BCWDD,GaussianNB,curriculum,CL,116740,F1 Score,0.9195402298850576,0.9213483146067416,0.0018080847216840334
BCWDD,GaussianNB,curriculum,CL,116740,Specificity,0.9305555555555556,0.9166666666666666,-0.01388888888888895
BCWDD,GaussianNB,curriculum,CL,116740,Balanced Accuracy,0.941468253968254,0.9464285714285714,0.004960317460317443
BCWDD,GaussianNB,curriculum,CL,26226,Precision,0.975,0.951219512195122,-0.02378048780487796
BCWDD,GaussianNB,curriculum,CL,26226,Recall,0.9285714285714286,0.9285714285714286,0.0
BCWDD,GaussianNB,curriculum,CL,26226,F1 Score,0.951219512195122,0.9397590361445785,-0.011460476050543567
BCWDD,GaussianNB,curriculum,CL,26226,Specificity,0.9861111111111112,0.9722222222222222,-0.01388888888888895
BCWDD,GaussianNB,curriculum,CL,26226,Balanced Accuracy,0.95734126984127,0.9503968253968254,-0.006944444444444642
BCWDD,GaussianNB,curriculum,CLD,670488,Precision,0.8636363636363636,0.8695652173913043,0.005928853754940677
BCWDD,GaussianNB,curriculum,CLD,670488,Recall,0.9047619047619048,0.9523809523809524,0.04761904761904767
BCWDD,GaussianNB,curriculum,CLD,670488,F1 Score,0.8837209302325582,0.9090909090909092,0.025369978858351017
BCWDD,GaussianNB,curriculum,CLD,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,CLD,670488,Balanced Accuracy,0.9107142857142856,0.9345238095238096,0.023809523809524058
BCWDD,GaussianNB,curriculum,CLD,116740,Precision,0.8888888888888888,0.8723404255319149,-0.016548463356973908
BCWDD,GaussianNB,curriculum,CLD,116740,Recall,0.9523809523809524,0.9761904761904762,0.023809523809523725
BCWDD,GaussianNB,curriculum,CLD,116740,F1 Score,0.9195402298850576,0.9213483146067416,0.0018080847216840334
BCWDD,GaussianNB,curriculum,CLD,116740,Specificity,0.9305555555555556,0.9166666666666666,-0.01388888888888895
BCWDD,GaussianNB,curriculum,CLD,116740,Balanced Accuracy,0.941468253968254,0.9464285714285714,0.004960317460317443
BCWDD,GaussianNB,curriculum,CLD,26226,Precision,0.975,0.9523809523809524,-0.02261904761904754
BCWDD,GaussianNB,curriculum,CLD,26226,Recall,0.9285714285714286,0.9523809523809524,0.023809523809523836
BCWDD,GaussianNB,curriculum,CLD,26226,F1 Score,0.951219512195122,0.9523809523809524,0.0011614401858304202
BCWDD,GaussianNB,curriculum,CLD,26226,Specificity,0.9861111111111112,0.9722222222222222,-0.01388888888888895
BCWDD,GaussianNB,curriculum,CLD,26226,Balanced Accuracy,0.95734126984127,0.9623015873015872,0.004960317460317221
